iso_code,country,co2_acum_fosil_mt,co2_acum_total_mt,pct_calentamiento,aporte_temp_c,co2_pc_actual_t,poblacion,co2_acum_pc_t,continente,region,pais_es,vulnerabilidad,preparacion,cuadrante
BHS,Bahamas,180.56,182.773,0.006,0,7.65,401282,455.4727099645636,Americas,Latin America & Caribbean,Bahamas,0.447497606278051,0.421700292817975,"Alta responsabilidad, baja vulnerabilidad"
BIH,Bosnia and Herzegovina,1043.488,1271.659,0.057,0.001,6.139,3164256,401.88246462991617,Europe,Europe & Central Asia,Bosnia y Herzegovina,0.380471274937269,0.380288074094667,"Alta responsabilidad, baja vulnerabilidad"
BLR,Belarus,5184.231,10072.118,0.338,0.006,6.163,9056696,1112.1183707612577,Europe,Europe & Central Asia,Bielorrusia,0.35456427179041,0.433746384332507,"Alta responsabilidad, baja vulnerabilidad"
BLZ,Belize,22.518,375.246,0.013,0,1.909,417077,899.7043711353059,Americas,Latin America & Caribbean,Belice,0.482829364848673,0.366118564582596,"Alta responsabilidad, alta vulnerabilidad"
BOL,Bolivia,641.184,7595.995,0.278,0.005,2.313,12413318,611.923016875907,Americas,Latin America & Caribbean,Bolivia,0.453168003737546,0.311923640783655,"Alta responsabilidad, alta vulnerabilidad"
BRA,Brazil,18198.707,139444.312,5.251,0.088,2.278,211998565,657.76064097415,Americas,Latin America & Caribbean,Brasil,0.366346352367594,0.381029599363176,"Alta responsabilidad, baja vulnerabilidad"
BRB,Barbados,63.875,64.108,0.002,0,4.833,282476,226.9502541808862,Americas,Latin America & Caribbean,Barbados,0.396989620041102,0.569385011264296,"Baja responsabilidad, baja vulnerabilidad"
BRN,Brunei,427.762,515.56,0.022,0,26.046,462734,1114.1606192758688,Asia,East Asia & Pacific,Brunéi,0.424482746377342,0.417302949083792,"Alta responsabilidad, baja vulnerabilidad"
BTN,Bhutan,29.797,697.167,0.03,0,2.094,791530,880.7840511414602,Asia,South Asia,Bután,0.52801539338826,0.414158013109384,"Alta responsabilidad, alta vulnerabilidad"
BWA,Botswana,184.336,295.974,0.039,0.001,2.96,2521145,117.39665905769006,Africa,Sub-Saharan Africa,Botsuana,0.484177412028985,0.383915563064972,"Baja responsabilidad, alta vulnerabilidad"
CAF,Central African Republic,12.341,755.866,0.076,0.001,0.074,5330691,141.79512562255061,Africa,Sub-Saharan Africa,República Centroafricana,0.588267161763796,0.136827316140834,"Baja responsabilidad, alta vulnerabilidad"
CAN,Canada,35644.129,76041.891,2.271,0.038,13.42,39742429,1913.3679775838564,Americas,North America,Canadá,0.28242526681381,0.643424897213037,"Alta responsabilidad, baja vulnerabilidad"
CHE,Switzerland,3158.062,3413.798,0.113,0.002,3.595,8921979,382.6278900678874,Europe,Europe & Central Asia,Suiza,0.296346485664518,0.673899271656072,"Alta responsabilidad, baja vulnerabilidad"
CHL,Chile,3324.852,7816.921,0.249,0.004,3.983,19764774,395.49761611238256,Americas,Latin America & Caribbean,Chile,0.346583112469936,0.548057982134563,"Alta responsabilidad, baja vulnerabilidad"
CHN,China,285087.031,359646.906,12.951,0.217,8.658,1419321284,253.3935832952675,Asia,East Asia & Pacific,China,0.394127021337838,0.454977786880392,"Baja responsabilidad, baja vulnerabilidad"
CIV,Cote d'Ivoire,400.111,10430.467,0.269,0.005,0.464,31934229,326.6234171490409,Africa,Sub-Saharan Africa,Côte d’Ivoire,0.487551450812507,0.307451391982768,"Alta responsabilidad, alta vulnerabilidad"
CMR,Cameroon,309.245,2925.905,0.18,0.003,0.331,29123748,100.46457619397064,Africa,Sub-Saharan Africa,Camerún,0.47761377739775,0.27556449339349,"Baja responsabilidad, alta vulnerabilidad"
COD,Democratic Republic of Congo,238.7,26035.693,0.794,0.013,0.054,109276264,238.25570208000522,Africa,Sub-Saharan Africa,República Democrática del Congo,0.570653651365249,0.178004679640907,"Baja responsabilidad, alta vulnerabilidad"
COG,Congo,191.077,1881.965,0.122,0.002,1.396,6332969,297.16946348545207,Africa,Sub-Saharan Africa,Congo,0.548901367074036,0.223569269890757,"Alta responsabilidad, alta vulnerabilidad"
COL,Colombia,3802.047,24334.633,0.901,0.015,1.752,52886360,460.13060834589487,Americas,Latin America & Caribbean,Colombia,0.40667956463587,0.415760860663383,"Alta responsabilidad, baja vulnerabilidad"
COM,Comoros,7.513,13.79,0.001,0,0.637,866632,15.912174948536403,Africa,Sub-Saharan Africa,Comoras,0.490113253246172,0.259205277711487,"Baja responsabilidad, alta vulnerabilidad"
CPV,Cape Verde,16.916,21.048,0.001,0,1.131,524878,40.100747221259034,Africa,Sub-Saharan Africa,Cabo Verde,0.477880174984703,0.380825424939355,"Baja responsabilidad, alta vulnerabilidad"
CRI,Costa Rica,285.803,2485.696,0.08,0.001,1.708,5129909,484.54972593081084,Americas,Latin America & Caribbean,Costa Rica,0.387068930111985,0.476711983261918,"Alta responsabilidad, baja vulnerabilidad"
CUB,Cuba,1814.111,5795.804,0.158,0.003,2.226,10979781,527.8615302072054,Americas,Latin America & Caribbean,Cuba,0.457075951798497,0.326042310214536,"Alta responsabilidad, alta vulnerabilidad"
CYP,Cyprus,321.552,271.718,0.012,0,5.374,1358287,200.04461501876997,Asia,Europe & Central Asia,Chipre,0.354660330841481,0.504149457315001,"Baja responsabilidad, baja vulnerabilidad"
CZE,Czechia,12331.785,12006.457,0.382,0.006,7.044,10735857,1118.351054787708,Europe,Europe & Central Asia,Chequia,0.305117504592286,0.606858218342057,"Alta responsabilidad, baja vulnerabilidad"
DEU,Germany,95135.68,94907.508,2.921,0.049,6.769,84552234,1122.4719148165855,Europe,Europe & Central Asia,Alemania,0.295589152589316,0.680281280285757,"Alta responsabilidad, baja vulnerabilidad"
DJI,Djibouti,21.121,27.193,0.004,0,0.483,1168726,23.267215754590897,Africa,"Middle East, North Africa, Afghanistan & Pakistan",Yibuti,0.598361572476778,0.327192953584806,"Baja responsabilidad, alta vulnerabilidad"
DNK,Denmark,4199.661,5573.946,0.183,0.003,4.746,5977417,932.5007775097505,Europe,Europe & Central Asia,Dinamarca,0.341581596937965,0.707141915822666,"Alta responsabilidad, baja vulnerabilidad"
DOM,Dominican Republic,869.154,2468.29,0.085,0.001,2.899,11427558,215.99452831479832,Americas,Latin America & Caribbean,República Dominicana,0.469902300602134,0.404711842449052,"Baja responsabilidad, alta vulnerabilidad"
DZA,Algeria,5476.568,6544.149,0.335,0.006,4.234,46814302,139.78952415011977,Africa,"Middle East, North Africa, Afghanistan & Pakistan",Argelia,0.429883579325037,0.378126927438512,"Baja responsabilidad, baja vulnerabilidad"
ECU,Ecuador,1391.196,5814.552,0.243,0.004,2.535,18135478,320.6175210821573,Americas,Latin America & Caribbean,Ecuador,0.47601951334325,0.348257452949247,"Alta responsabilidad, alta vulnerabilidad"
