iso_code,country,co2_acum_fosil_mt,co2_acum_total_mt,pct_calentamiento,aporte_temp_c,co2_pc_actual_t,poblacion,co2_acum_pc_t,continente,region,pais_es
HND,Honduras,310.24,3583.085,0.121,0.002,1.187,10825704,330.9793986608169,Americas,Latin America & Caribbean,Honduras
HRV,Croatia,1184.689,1843.124,0.065,0.001,4.765,3875325,475.60501377303837,Europe,Europe & Central Asia,Croacia
HTI,Haiti,88.844,815.294,0.043,0.001,0.252,11772562,69.25374442708393,Americas,Latin America & Caribbean,Haití
HUN,Hungary,5183.893,5758.358,0.19,0.003,4.136,9676135,595.1093075902724,Europe,Europe & Central Asia,Hungría
IDN,Indonesia,17419.934,86936.609,3.341,0.056,2.865,283487933,306.66775858851105,Asia,East Asia & Pacific,Indonesia
IND,India,66072.531,105592.531,4.754,0.08,2.201,1450935785,72.77546814382278,Asia,South Asia,India
IRL,Ireland,2366.426,2545.947,0.064,0.001,6.339,5255016,484.4794002530154,Europe,Europe & Central Asia,Irlanda
IRN,Iran,21810.637,23454.725,1.062,0.018,8.656,91567737,256.1461686008468,Asia,"Middle East, North Africa, Afghanistan & Pakistan",Irán
IRQ,Iraq,5350.744,5844.444,0.493,0.008,5.074,46042015,126.93718986886216,Asia,"Middle East, North Africa, Afghanistan & Pakistan",Irak
ISL,Iceland,171.686,274.576,0.012,0,9.667,393404,697.9491820113675,Europe,Europe & Central Asia,Islandia
ISR,Israel,2607.636,2648.493,0.099,0.002,5.607,9387015,282.1443238345736,Asia,"Middle East, North Africa, Afghanistan & Pakistan",Israel
ITA,Italy,26005.943,26140.309,0.882,0.015,5.088,59342870,440.49620451454405,Europe,Europe & Central Asia,Italia
JAM,Jamaica,485.202,658.866,0.023,0,2.959,2839182,232.0619107897979,Americas,Latin America & Caribbean,Jamaica
JOR,Jordan,793.394,857.614,0.035,0.001,2.01,11552885,74.2337520022055,Asia,"Middle East, North Africa, Afghanistan & Pakistan",Jordania
JPN,Japan,69612.281,74886.641,2.137,0.036,7.772,123753041,605.1297034389644,Asia,East Asia & Pacific,Japón
KAZ,Kazakhstan,14937.44,18967.291,0.824,0.014,13.937,20592574,921.0743154304071,Asia,Europe & Central Asia,Kazajistán
KEN,Kenya,551.307,3192.033,0.198,0.003,0.376,56432946,56.56328840248744,Africa,Sub-Saharan Africa,Kenia
KGZ,Kyrgyzstan,883.216,1245.74,0.06,0.001,1.638,7186014,173.35618884126862,Asia,Europe & Central Asia,Kirguistán
KHM,Cambodia,251.61,3511.238,0.184,0.003,1.241,17638804,199.06326982260248,Asia,East Asia & Pacific,Camboya
KIR,Kiribati,2.329,2.329,0,0,0.539,134521,17.313281941109565,Oceania,East Asia & Pacific,Kiribati
KNA,Saint Kitts and Nevis,8.035,4.376,0,0,5.542,46867,93.37060191606034,Americas,Latin America & Caribbean,San Cristóbal y Nieves
KOR,South Korea,20707.549,20972.07,0.655,0.011,11.286,51717587,405.51137855677604,Asia,East Asia & Pacific,Corea del Sur
KWT,Kuwait,3875.923,3875.93,0.209,0.004,26.248,4934508,785.4744586491703,Asia,"Middle East, North Africa, Afghanistan & Pakistan",Kuwait
LAO,Laos,243.008,2639.207,0.114,0.002,3.14,7769823,339.6740183141881,Asia,East Asia & Pacific,Laos
LBN,Lebanon,794.725,805.765,0.031,0.001,2.696,5805962,138.78234132431456,Asia,"Middle East, North Africa, Afghanistan & Pakistan",Líbano
LBR,Liberia,52.521,1113.558,0.054,0.001,0.153,5612813,198.39570639534935,Africa,Sub-Saharan Africa,Liberia
LBY,Libya,2489.88,2550.426,0.153,0.003,8.842,7381029,345.5380001894045,Africa,"Middle East, North Africa, Afghanistan & Pakistan",Libia
LCA,Saint Lucia,16.455,15.853,0.001,0,2.987,179751,88.19422423241039,Americas,Latin America & Caribbean,Santa Lucía
LIE,Liechtenstein,9.961,9.38,0,0,3.299,39895,235.1171826043364,Europe,Europe & Central Asia,Liechtenstein
LKA,Sri Lanka,567.871,2245.985,0.107,0.002,0.901,23103561,97.21380180310732,Asia,South Asia,Sri Lanka
LSO,Lesotho,72.33,196.16,0.011,0,1.1,2337428,83.92130153313813,Africa,Sub-Saharan Africa,Lesoto
LTU,Lithuania,1610.091,2866.291,0.097,0.002,4.387,2859112,1002.5109194742984,Europe,Europe & Central Asia,Lituania
LUX,Luxembourg,783.031,776.032,0.023,0,10.46,673042,1153.0216539235294,Europe,Europe & Central Asia,Luxemburgo
LVA,Latvia,980.751,1838.996,0.054,0.001,3.452,1871874,982.4357836050931,Europe,Europe & Central Asia,Letonia
MAC,Macao,57.529,NA,0.002,0,1.467,720270,NA,Asia,East Asia & Pacific,Macao
MAR,Morocco,2015.669,3543.1,0.157,0.003,1.814,38081176,93.040719120649,Africa,"Middle East, North Africa, Afghanistan & Pakistan",Marruecos
MCO,Monaco,NA,NA,NA,NA,NA,38657,NA,Europe,Europe & Central Asia,Mónaco
MDA,Moldova,1358.364,1435.494,0.049,0.001,1.755,3034967,472.9850439889462,Europe,Europe & Central Asia,Moldavia
MDG,Madagascar,112.654,5198.355,0.245,0.004,0.142,31964960,162.6266699535992,Africa,Sub-Saharan Africa,Madagascar
MDV,Maldives,33.654,33.657,0.001,0,4.369,527801,63.768352087245006,Asia,South Asia,Maldivas
MEX,Mexico,22015.852,36005.91,1.312,0.022,3.523,130861001,275.1462217532632,Americas,Latin America & Caribbean,México
MHL,Marshall Islands,4.008,4.008,0,0,4.112,37572,106.67518364739699,Oceania,East Asia & Pacific,Islas Marshall
MKD,North Macedonia,538.001,945.819,0.028,0,3.631,1823011,518.8224316803354,Europe,Europe & Central Asia,Macedonia del Norte
MLI,Mali,100.196,1729.983,0.101,0.002,0.285,24478597,70.67329063017786,Africa,Sub-Saharan Africa,Mali
MLT,Malta,111.223,106.157,0.003,0,3.204,539612,196.72839002839078,Europe,"Middle East, North Africa, Afghanistan & Pakistan",Malta
MMR,Myanmar,727.896,9119.754,0.654,0.011,0.58,54500086,167.33467172877488,Asia,East Asia & Pacific,Myanmar (Birmania)
MNE,Montenegro,122.14,220.352,0.01,0,3.722,638481,345.1191186581903,Europe,Europe & Central Asia,Montenegro
MNG,Mongolia,861.452,2076.162,0.211,0.004,12.86,3475541,597.3636910052276,Asia,East Asia & Pacific,Mongolia
MOZ,Mozambique,211.22,4654.248,0.154,0.003,0.249,34631767,134.3924495680512,Africa,Sub-Saharan Africa,Mozambique
MRT,Mauritania,99.863,143.661,0.024,0,1.013,5169403,27.79063655899917,Africa,Sub-Saharan Africa,Mauritania
MSR,Montserrat,1.679,NA,0,0,6.022,4414,NA,Americas,Latin America & Caribbean,Montserrat
MUS,Mauritius,133.211,136.504,0.006,0,3.677,1271171,107.38445102979851,Africa,Sub-Saharan Africa,Mauricio
MWI,Malawi,57.557,1186.421,0.048,0.001,0.087,21655288,54.786664578185245,Africa,Sub-Saharan Africa,Malaui
MYS,Malaysia,7042.41,20000.15,0.612,0.01,8.162,35557670,562.4707693164372,Asia,East Asia & Pacific,Malasia
NAM,Namibia,87.2,219.85,0.029,0,1.145,3030127,72.55471470337712,Africa,Sub-Saharan Africa,Namibia
NCL,New Caledonia,171.769,NA,0.005,0,18.064,292655,NA,Oceania,East Asia & Pacific,Nueva Caledonia
NER,Niger,61.507,1336.058,0.112,0.002,0.117,27032417,49.42428936339655,Africa,Sub-Saharan Africa,Níger
NGA,Nigeria,4710.83,15858.661,1.03,0.017,0.584,232679482,68.15668001186285,Africa,Sub-Saharan Africa,Nigeria
NIC,Nicaragua,197.651,4525.616,0.159,0.003,0.814,6916136,654.3561318053896,Americas,Latin America & Caribbean,Nicaragua
NIU,Niue,0.286,0.286,0,0,4.143,1841,155.35035306898425,Oceania,East Asia & Pacific,Niue
NLD,Netherlands,12261.704,13325.155,0.446,0.007,6.297,18228740,730.9970409364553,Europe,Europe & Central Asia,Países Bajos
NOR,Norway,2787.295,3832.95,0.132,0.002,6.668,5576656,687.3205017487182,Europe,Europe & Central Asia,Noruega
