iso3c,pais,region,grupo_ingreso,alfabetismo,crec_poblacion,electricidad,esperanza_vida,fecundidad,mortalidad_5,pib_pc_ppa,pib_pc_usd,pib_usd,pob_65mas,poblacion,pobreza_3usd,pobreza_4_2usd,pobreza_8_3usd,urbana,pobreza_mpi,gini,anio_alfabetismo,anio_crec_poblacion,anio_electricidad,anio_esperanza_vida,anio_fecundidad,anio_mortalidad_5,anio_pib_pc_ppa,anio_pib_pc_usd,anio_pib_usd,anio_pob_65mas,anio_poblacion,anio_pobreza_3usd,anio_pobreza_4_2usd,anio_pobreza_8_3usd,anio_urbana,anio_pobreza_mpi,anio_gini,categoria_idh,ranking_idh,idh,idh_ajustado_des,indice_genero_gii,anios_escol_esp,anios_escol_prom,ingreso_nacional_pc,poblacion_mill,pib_mmill_usd,log_pib_pc_ppa,pobres_3usd_mill
SWE,Sweden,Europe & Central Asia,Alto,NA,0.254281358853672,100,84.0634146341463,1.43,2.4,63362.4612808079,63133.2126736715,668998664082.081,20.9127967529707,10596620,0.8,0.9,1.5,89.0778677789555,NA,29.3,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2023,2023,2023,2025,NA,2023,Muy alto,5,0.959,0.886,0.007,18.99147034,12.74032574,66102.08595,10.59662,668.9986640820811,4.801832038845203,0.08477296000000001
CHE,Switzerland,Europe & Central Asia,Alto,NA,0.95982517858888,100,84.4073170731707,1.29,3.9,85732.1097535232,114769.012314293,1043529899250.92,20.4321204316855,9092436,0.2,0.2,0.3,85.7272157802756,NA,33.8,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2022,2022,2022,2025,NA,2022,Muy alto,2,0.97,0.894,0.01,16.66753006,13.94912109,81948.90177,9.092436,1043.5298992509202,4.933143511269477,0.018184871999999998
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Bajo,94.4199981689453,3.76901619394327,89.3,72.56,2.7,18.4,4579.43973633341,1056.78264718197,23737634644.3994,4.83918173649451,25620427,18,42.1,89.3,72.0836286208518,NA,26.4,2021,2025,2024,2024,2024,2024,2022,2022,2022,2025,2025,2022,2022,2022,2025,NA,2022,Medio,162,0.564,NA,0.49,7.418754527,5.935520062,3917.702385,25.620427,23.7376346443994,3.6608123482435087,4.61167686
TJK,Tajikistan,Europe & Central Asia,Medio-bajo,NA,1.83193545840317,99.9,71.927,3.036,28.1,5061.84700623649,1637.2542942547,17660626562.4832,4.06783017305471,10786734,6.1,16.9,55.4,26.16476270853,7.4,36.1,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2024,2024,2024,2025,2017,2024,Medio,128,0.691,0.594,0.258,10.84980801,11.27094825,5746.568969,10.786734,17.6606265624832,3.7043090145181297,0.6579907739999998
TZA,Tanzania,Sub-Saharan Africa,Medio-bajo,78.2099990844727,2.85515014149945,52.4,67.212,4.541,37,3820.61181640625,1318.81921386719,90143496090.4411,3.04176368097549,70545865,51.3,70,91.5,36.8833115936643,47.2,40.5,2022,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2018,2018,2018,2025,2022,2018,Medio,165,0.555,0.391,0.504,8.585740089,6.065350056,3514.632861,70.545865,90.1434960904411,3.582132914538234,36.190028745
THA,Thailand,East Asia & Pacific,Medio-alto,91.0999984741211,-0.0672045728198196,100,76.564,1.204,9,22431.7518380848,8056.56359761558,577009981112.015,16.017421033045,71619863,0,0.2,11.7,62.7993377136296,0.5,33.3,2022,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2024,2024,2024,2025,2022,2024,Alto,76,0.798,0.677,0.288,15.35883492,9.039999962,20569.90176,71.619863,577.009981112015,4.350863191724041,0
TLS,Timor-Leste,East Asia & Pacific,Medio-bajo,69.4000015258789,1.26841125849065,94.3,67.904,2.627,47.6,4109.9044785289,1340.9640193437,1902180257.82737,5.22929748839898,1418517,44,71.4,96,28.7864318960935,48.3,28.7,2022,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2014,2014,2014,2025,2016,2014,Medio,142,0.634,0.451,0.394,13.25306303,6.226580551,5434.594692,1.418517,1.9021802578273699,3.613831728219163,0.62414748
TGO,Togo,Sub-Saharan Africa,Medio-bajo,72.5999984741211,2.17758924189303,61.1,62.935,4.121673,56.1,3485.98184512074,1383.89974929887,11889949067.4697,3.4768505984781,8591626,34.7,55.6,87,44.3949892074399,37.6,37.9,2022,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2021,2021,2021,2025,2017,2021,Medio,161,0.571,0.363,0.564,13.09642387,5.861114619,2855.963828,8.591626,11.8899490674697,3.5423251209884286,2.9812942220000003
TON,Tonga,East Asia & Pacific,Medio-alto,99.4800033569336,-0.416512960445247,100,73.07,3.1,9.5,7412.86641968829,6547.18646814228,679218218.578017,6.85064872472094,103742,0.4,1.8,26.7,21.1561406217448,0.9,27.1,2023,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2021,2021,2021,2025,2019,2021,Alto,92,0.769,0.682,0.444,17.78693018,10.91494895,7438.210092,0.103742,0.679218218578017,3.8699861741788086,4.14968e-4
TTO,Trinidad and Tobago,Latin America & Caribbean,Alto,NA,-0.0415920932776015,100,73.617,1.536,18.8,31721.5757411236,18967.2704636681,25942749718.4685,12.9254775320864,1367764,NA,NA,NA,53.9696087417106,0.5,NA,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,NA,NA,NA,2025,2022,NA,Muy alto,72,0.807,NA,0.262,14.23764336,10.79275036,27000.14511,1.367764,25.942749718468498,4.501354752374372,NA
