folioviv,foliohog,id_pobla,sexo_pe,edad_act,mes_nac,anio_nac,otra_resid,nivela_pe,gradoa_pe,asiste_pe,tra_pago,tra_negfam,tra_neg,tra_aprend,tra_volun,tra_relig,trab_remun,sosten_eco,tra_dome,lengua_ind,pueblo_ind,color_piel,razon_estu,satis_vida,satis_nina,satis_adol,satis_jov,satis_adul,c_alimenta,c_actfis,c_tics,c_redsoc,c_consbien,c_economia,c_consalco,c_lectura,anio_dejar,edad_dejar,matrimonio,hij_vivos,anticoncep,anio_rsex,edad_rsex,cvegeo,cve_ent,cve_mun,est_dis,upm,factor_per
010039505,1,03,1,20,12,2005,2,06,3,1,1,2,2,2,2,2,1,1,2,2,2,I,10,08,10,08,08,,,,,,,,,,,99,0,0,2,2022,17,01001,01,001,0001,00009,1378
010040801,1,01,1,37,05,1988,2,06,3,1,1,2,2,2,2,2,1,1,1,2,2,I,07,09,08,07,08,08,,,,,,2,2,,2013,25,1,2,2,2004,16,01001,01,001,0001,00010,986
010040802,1,04,2,19,01,2006,2,06,3,1,1,2,2,2,2,2,1,2,1,2,2,G,08,07,05,06,,,,,1,,,2,,,2021,15,1,2,1,2019,13,01001,01,001,0001,00010,1972
010040803,1,01,2,43,03,1982,2,09,3,1,1,2,2,2,2,2,1,1,1,2,2,I,13,08,10,10,08,08,,2,,,,2,,,2023,41,0,2,2,2002,20,01001,01,001,0001,00010,986
010040804,1,01,1,28,04,1997,2,06,3,1,1,2,2,2,2,2,1,1,1,2,2,H,10,08,10,08,09,,2,,1,,,2,,,2015,18,1,1,1,2012,15,01001,01,001,0001,00010,986
010040805,1,02,2,24,08,2001,2,06,3,1,1,2,2,2,2,2,1,2,1,2,2,H,04,08,09,08,08,,2,,,,,2,,,2019,18,1,1,1,2017,16,01001,01,001,0001,00010,986
010043401,1,02,2,32,01,1993,2,06,3,1,1,2,2,2,2,2,1,2,1,2,2,J,04,09,09,09,09,09,1,1,,2,,2,,,2013,20,1,2,2,2011,18,01001,01,001,0001,00011,1481
010043404,1,03,1,33,04,1992,2,06,&,1,1,2,2,1,2,2,1,2,2,2,2,K,13,08,09,09,09,09,,,,3,,3,,1,,99,0,0,2,2005,13,01001,01,001,0001,00011,4442
010043405,1,04,2,20,07,2005,2,06,3,1,1,2,2,2,2,2,1,2,1,2,2,H,04,05,10,05,05,,,,,2,,,,,,99,0,0,2,2023,18,01001,01,001,0001,00011,3702
010044601,1,02,2,37,04,1988,2,06,3,1,2,2,2,2,2,2,2,2,1,2,2,G,04,07,10,10,06,07,2,2,,,,2,,,2007,19,1,4,1,2001,13,01001,01,001,0001,00012,842
010044602,1,03,1,22,08,2003,2,06,3,1,1,2,2,2,2,2,1,2,1,2,2,E,04,08,10,10,08,,,1,,,,1,2,,,99,0,0,2,2020,17,01001,01,001,0001,00012,1264
010044603,1,03,2,31,04,1994,2,09,3,1,1,2,2,2,2,2,1,2,1,2,2,E,07,10,10,10,08,10,2,2,,1,,2,,,,99,0,0,2,2015,21,01001,01,001,0001,00012,842
010044605,1,02,2,58,04,1967,2,03,3,1,1,2,2,2,2,2,1,2,1,2,2,F,07,10,08,08,08,08,,,,,,2,,,1992,25,1,2,2,1992,25,01001,01,001,0001,00012,1685
010045001,1,02,2,37,06,1988,1,11,2,1,1,2,1,1,2,2,1,2,2,2,2,H,13,10,07,08,09,09,2,2,1,1,,,,,2006,18,2,1,1,2009,21,01001,01,001,0003,00003,1290
010045002,1,01,1,35,07,1990,2,12,2,1,1,2,1,2,2,2,1,1,2,2,2,J,13,08,10,10,08,08,,,1,1,,1,,,2020,30,1,2,2,2005,15,01001,01,001,0003,00003,1290
010045003,1,01,1,46,05,1979,1,12,2,1,1,2,2,2,2,2,1,1,2,2,2,J,13,09,09,09,08,09,,,,,,,,,1999,20,1,2,2,1999,20,01001,01,001,0003,00003,1290
010045004,1,01,2,54,11,1971,1,12,2,1,1,2,2,1,1,2,1,1,1,2,2,H,13,08,08,05,08,08,1,2,2,1,,,,,1989,18,1,3,2,1989,18,01001,01,001,0003,00003,1290
010046201,1,02,2,49,04,1976,1,12,3,1,1,2,1,1,2,2,1,1,1,2,2,I,14,08,10,07,09,08,,2,1,,1,2,,1,,99,0,1,2,2007,31,01001,01,001,0003,00005,796
010046202,1,01,1,35,09,1990,2,11,3,1,1,2,2,2,2,2,1,1,1,2,2,I,10,09,10,09,10,09,,2,1,1,,,,,2014,24,1,0,2,2002,12,01001,01,001,0003,00005,398
010046204,1,01,2,46,06,1979,2,12,1,1,1,1,2,1,1,2,1,1,1,2,2,I,07,07,07,07,07,07,1,1,1,1,1,1,,1,1998,19,1,3,1,1998,19,01001,01,001,0003,00005,796
010046205,1,01,1,40,09,1985,1,11,5,1,1,1,1,1,1,2,1,1,2,2,2,I,12,07,09,09,08,07,,2,1,1,2,2,,1,2014,29,1,2,1,2014,29,01001,01,001,0003,00005,796
010047701,1,02,2,59,02,1966,2,11,3,1,2,2,2,2,2,2,2,2,1,2,2,H,13,09,08,09,09,09,,,,,,2,,,1987,21,1,2,2,1987,21,01001,01,001,0003,00006,1325
010047702,1,03,2,24,04,2001,2,11,4,1,1,2,2,2,2,2,1,2,2,2,2,G,13,09,10,09,09,,,,,2,,,,,,99,0,0,2,2018,17,01001,01,001,0003,00006,1767
010047703,1,01,2,53,04,1972,1,11,4,1,1,2,2,2,2,2,1,1,1,2,2,G,06,08,10,09,08,08,,,1,3,,,,,1993,21,1,3,2,1997,25,01001,01,001,0003,00006,1767
010047704,1,01,1,43,11,1982,2,12,2,1,1,2,2,1,2,2,1,1,2,2,2,E,13,10,10,06,06,09,,,2,,,,,,2003,21,1,2,2,1998,16,01001,01,001,0003,00006,1325
010047705,1,01,1,45,07,1980,1,11,5,1,1,2,2,2,1,2,1,1,2,2,2,F,13,10,10,10,10,10,,,,,,,,,2004,24,1,1,2,1993,13,01001,01,001,0003,00006,884
010048001,1,02,2,32,05,1993,1,11,5,1,1,2,2,1,1,2,1,2,1,2,2,G,08,08,06,07,07,10,1,,,2,,2,,,2013,20,1,2,2,2011,18,01001,01,001,0003,00007,1111
010048003,1,02,2,46,07,1979,1,11,5,1,1,1,1,1,1,2,1,1,1,2,2,J,13,07,04,09,06,07,,2,2,,2,2,,,2009,30,1,1,2,1999,20,01001,01,001,0003,00007,1111
010048004,1,03,2,24,08,2001,2,11,4,1,1,2,2,1,2,2,1,2,2,2,2,J,13,08,08,08,09,,,,,,,,,,,99,0,0,2,,88,01001,01,001,0003,00007,1666
010048801,1,01,1,32,11,1993,2,06,3,1,1,2,2,2,2,2,1,1,1,2,2,J,10,10,10,10,10,10,,,,,,2,,,2015,22,1,2,2,2009,16,01001,01,001,0001,00013,961
010048802,1,01,2,48,05,1977,2,03,6,1,1,2,2,2,2,2,1,2,1,2,2,K,07,10,10,10,10,10,,,,,,,,,1994,17,1,4,2,1994,17,01001,01,001,0001,00013,961
010048803,1,03,1,26,12,1999,2,11,3,1,1,2,2,2,2,2,1,2,1,2,2,K,13,08,10,10,08,,2,2,,,,,,,,99,0,0,2,2012,13,01001,01,001,0001,00013,1441
010048804,1,04,1,20,05,2005,2,06,3,1,1,2,1,1,2,2,1,1,2,2,2,I,07,10,10,10,10,,,,,,,,,,,99,0,0,2,2017,12,01001,01,001,0001,00013,1921
010049801,1,01,1,52,08,1973,1,11,5,1,1,2,2,1,2,2,1,1,1,2,2,F,13,10,10,10,10,10,1,1,1,1,,1,,1,1998,25,1,2,2,1993,20,01001,01,001,0002,00008,1144
010049802,1,03,2,52,11,1973,2,06,3,1,1,2,2,2,2,2,1,2,1,2,2,F,04,09,10,10,10,09,2,2,,,,2,,,,99,1,3,2,1990,17,01001,01,001,0002,00008,763
010049803,1,02,2,64,07,1961,2,03,5,1,1,2,2,2,2,2,1,2,1,2,2,G,07,09,07,07,08,08,1,2,,,,,,,1977,16,1,2,2,1977,16,01001,01,001,0002,00008,381
010049804,1,02,1,55,12,1970,2,11,5,1,1,2,2,1,2,2,1,1,1,2,2,F,13,10,10,10,10,07,2,2,1,1,,2,,,2004,34,2,3,2,1996,26,01001,01,001,0002,00008,381
010049805,1,02,2,61,08,1964,1,03,6,1,1,2,2,2,2,2,1,2,1,2,2,G,07,10,09,09,10,07,2,2,,,,2,,,1980,16,2,4,2,1979,15,01001,01,001,0002,00008,1144
010050902,1,01,2,56,10,1969,1,09,3,1,1,2,2,2,2,2,1,1,2,2,2,H,13,08,05,07,08,08,2,2,,,,2,,,1993,24,0,3,2,1990,21,01001,01,001,0003,00008,1157
010050903,1,01,1,46,12,1979,2,09,2,1,1,2,2,2,2,2,1,1,2,2,2,I,10,10,06,06,10,10,,,,,,2,,,2001,22,1,2,2,2001,22,01001,01,001,0003,00008,1735
