folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,cuart_dorm,agua_ent,ab_agua,agua_noe,dotac_agua,excusado,drenaje,disp_elect,focos,focos_ahor,tenencia,num_micro,anio_micro,num_refri,anio_refri,num_lropa,anio_lropa,num_ltras,anio_ltras,num_airea,anio_airea,num_calef,anio_calef,num_venti,anio_venti,num_tv,anio_tv,num_pc,anio_pc,num_lap,anio_lap,num_table,anio_table,num_imp,anio_imp,num_cel,anio_cel,num_tfijo,anio_tfijo,num_inter,anio_inter,num_tvpag,anio_tvpag,num_pdigi,anio_pdigi,num_dvd,anio_dvd,num_juego,anio_juego,num_auto,anio_auto,num_van,anio_van,residentes,tot_hog,cvegeo,cve_ent,cve_mun,tam_loc,est_socio,est_dis,upm,factor_viv
010031502,1,8,10,3,3,1,1,,1,1,1,1,10,10,1,0,,1,14,1,19,0,,0,,0,,0,,2,19,0,,0,,0,,0,,3,19,0,,1,25,0,,0,,0,,0,,1,14,0,,3,1,01001,01,001,1,2,0001,00006,461
010031503,1,8,10,3,2,1,1,,1,1,1,1,7,7,1,1,00,1,11,1,22,0,,0,,0,,2,25,3,24,0,,1,17,1,23,0,,5,24,0,,1,25,0,,0,,0,,0,,1,23,0,,5,1,01001,01,001,1,2,0001,00006,461
010031504,1,8,10,2,2,1,1,,1,1,1,1,6,6,4,0,,0,,0,,0,,0,,0,,0,,1,25,0,,0,,0,,0,,2,24,0,,1,24,1,24,0,,0,,0,,0,,0,,4,1,01001,01,001,1,2,0001,00006,461
010031505,1,8,10,2,2,1,1,,1,1,1,1,5,0,4,1,25,1,15,1,15,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,25,0,,0,,0,,0,,0,,0,,0,,0,,3,1,01001,01,001,1,2,0001,00006,461
010031601,1,8,10,3,3,1,1,,1,1,1,1,15,15,4,1,22,1,14,1,12,0,,0,,0,,1,20,4,23,0,,1,20,0,,0,,3,24,0,,1,19,1,19,0,,0,,0,,0,,1,19,4,1,01001,01,001,1,3,0002,00007,403
010031602,1,8,10,3,2,1,1,,1,1,1,1,8,8,4,1,19,1,15,1,12,0,,0,,0,,1,22,3,24,0,,1,18,0,,0,,3,24,0,,1,20,0,,0,,0,,0,,1,17,0,,1,1,01001,01,001,1,3,0002,00007,403
010031603,1,8,10,3,2,1,1,,2,1,1,1,13,13,4,1,17,1,15,1,13,0,,0,,0,,1,22,3,20,0,,0,,0,,0,,4,25,0,,1,18,1,18,1,18,0,,0,,1,14,0,,3,1,01001,01,001,1,3,0002,00007,403
010031604,1,8,10,2,1,1,1,,1,1,1,1,6,5,1,0,,1,12,1,10,0,,0,,0,,1,15,1,23,0,,0,,0,,0,,5,24,0,,0,,0,,0,,0,,0,,0,,0,,9,1,01001,01,001,1,3,0002,00007,403
010037201,1,8,03,2,2,1,1,,1,1,1,1,6,6,5,0,,1,15,1,14,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,23,0,,0,,0,,0,,0,,0,,0,,0,,6,1,01001,01,001,1,2,0001,00007,564
010037202,1,8,10,3,2,1,1,,1,1,1,1,6,6,4,1,21,1,19,0,,0,,0,,0,,2,23,2,24,0,,1,21,0,,0,,3,24,0,,1,21,0,,-1,23,0,,0,,1,12,0,,2,1,01001,01,001,1,2,0001,00007,564
010037204,1,8,10,3,3,1,1,,5,1,1,1,13,13,4,1,22,1,11,1,21,0,,0,,0,,3,23,3,20,0,,1,20,0,,0,,3,23,0,,1,20,0,,-1,21,0,,0,,0,,0,,3,1,01001,01,001,1,2,0001,00007,564
010037205,1,8,10,2,2,1,1,,1,1,1,1,6,6,1,1,22,1,19,1,17,0,,0,,0,,0,,2,22,0,,0,,0,,0,,4,23,0,,1,23,0,,0,,0,,0,,0,,0,,5,1,01001,01,001,1,2,0001,00007,564
010037701,1,8,10,2,2,1,1,,2,1,1,1,11,11,4,1,22,1,20,1,18,0,,0,,0,,4,23,3,20,0,,1,19,0,,0,,3,22,0,,1,21,0,,-1,24,0,,0,,0,,1,16,3,1,01001,01,001,1,2,0001,00008,433
010037702,1,8,10,3,2,1,1,,2,1,1,1,9,9,4,1,21,1,18,1,22,0,,0,,0,,3,21,3,23,0,,0,,0,,0,,1,23,0,,1,21,0,,2,24,0,,0,,0,,0,,2,1,01001,01,001,1,2,0001,00008,433
010037703,1,8,10,2,2,1,1,,3,1,1,1,7,7,4,0,,1,15,1,21,0,,0,,0,,0,,1,23,0,,0,,0,,0,,2,22,0,,1,22,0,,1,24,0,,0,,1,15,0,,5,1,01001,01,001,1,2,0001,00008,433
010037704,1,8,10,3,2,1,1,,1,1,1,1,6,6,4,1,12,1,23,1,15,0,,0,,0,,1,20,2,19,0,,1,23,0,,0,,4,22,1,23,1,23,1,23,0,,0,,1,21,0,,1,10,5,1,01001,01,001,1,2,0001,00008,433
010037705,1,8,10,2,3,1,1,,1,1,1,1,14,14,4,0,,1,16,1,19,0,,0,,0,,1,18,2,21,0,,0,,1,22,0,,3,23,0,,1,23,0,,2,22,0,,0,,0,,0,,4,1,01001,01,001,1,2,0001,00008,433
010039501,1,8,10,2,2,1,1,,1,1,1,1,5,5,4,0,,1,23,1,20,0,,0,,0,,1,24,1,18,0,,0,,0,,0,,3,22,1,22,1,22,0,,0,,0,,0,,0,,0,,4,1,01001,01,001,1,2,0001,00009,455
010039502,1,8,10,2,3,1,1,,1,1,1,1,4,4,4,0,,1,24,1,17,0,,0,,0,,1,21,1,24,0,,0,,0,,0,,3,20,0,,1,22,0,,0,,0,,0,,0,,0,,3,1,01001,01,001,1,2,0001,00009,455
010039503,1,8,10,3,2,1,1,,2,1,1,1,4,2,4,1,25,1,25,1,24,0,,0,,0,,0,,1,16,0,,0,,0,,0,,2,20,0,,1,23,0,,0,,0,,0,,0,,0,,4,1,01001,01,001,1,2,0001,00009,455
010039504,1,8,10,2,2,1,1,,1,1,1,1,6,6,1,1,24,1,21,1,21,0,,0,,0,,1,23,1,24,0,,0,,0,,0,,1,23,1,23,1,23,0,,0,,0,,0,,0,,0,,4,1,01001,01,001,1,2,0001,00009,455
010039505,1,8,10,2,2,1,1,,1,1,1,1,6,6,4,1,24,1,23,1,23,0,,0,,0,,1,23,1,23,0,,0,,0,,0,,3,25,0,,1,23,0,,1,23,0,,0,,0,,0,,3,1,01001,01,001,1,2,0001,00009,455
010040801,3,8,10,2,2,1,1,,2,1,1,1,5,5,3,1,15,1,12,1,15,0,,0,,0,,1,24,1,22,0,,0,,0,,0,,2,22,0,,0,,0,,0,,0,,0,,1,12,0,,4,1,01001,01,001,1,2,0001,00010,488
010040802,3,8,10,2,2,1,1,,1,1,1,1,7,7,3,0,,0,,1,15,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,24,0,,1,22,0,,0,,0,,0,,0,,0,,8,1,01001,01,001,1,2,0001,00010,488
010040803,1,8,10,3,1,1,1,,1,1,1,1,8,8,3,1,22,1,22,1,17,0,,0,,0,,0,,1,25,0,,0,,0,,0,,3,24,0,,1,19,0,,0,,0,,0,,0,,1,15,3,1,01001,01,001,1,2,0001,00010,488
010040804,3,8,10,3,2,1,1,,1,1,1,1,6,6,3,1,15,1,21,1,23,0,,0,,0,,2,24,3,24,0,,0,,0,,0,,2,24,0,,1,24,0,,1,22,0,,0,,1,18,0,,3,1,01001,01,001,1,2,0001,00010,488
010040805,1,8,10,2,1,1,1,,1,1,1,1,6,6,1,1,19,0,,1,21,0,,0,,0,,0,,1,22,0,,0,,0,,0,,2,22,0,,1,19,0,,1,22,0,,0,,0,,0,,3,1,01001,01,001,1,2,0001,00010,488
010043401,1,8,10,3,2,1,1,,1,1,1,1,5,5,4,1,19,1,20,1,19,0,,0,,0,,0,,1,22,0,,0,,0,,0,,3,19,0,,1,22,0,,0,,0,,0,,0,,0,,4,1,01001,01,001,1,2,0001,00011,733
010043404,1,8,10,3,3,1,1,,2,1,1,1,6,6,3,0,,1,22,1,16,0,,0,,0,,0,,1,15,0,,0,,0,,0,,1,18,1,22,1,22,0,,0,,0,,0,,0,,0,,7,1,01001,01,001,1,2,0001,00011,733
