folioviv,foliohog,id_pobla,parentesco,sexo,edad,afrod,hablaesp,hablaind,lenguaind,hablaing,hablaotro,etnia,asiste_esc,no_asisb,nivelaprob,gradoaprob,alfabetism,edo_conyug,inf_selec,cvegeo,cve_ent,cve_mun,est_dis,upm,factor_hog
010022104,1,03,3,2,14,2,1,2,,2,2,2,1,,03,1,,9,2,01001,01,001,0002,00004,530
010025401,1,01,1,1,63,2,1,2,,2,2,2,2,,03,3,,8,1,01001,01,001,0002,00005,438
010025401,1,02,2,2,56,2,1,2,,2,2,2,2,,02,6,1,8,2,01001,01,001,0002,00005,438
010025401,1,03,3,1,28,2,1,2,,2,2,2,2,04,08,5,,9,2,01001,01,001,0002,00005,438
010025401,1,04,3,1,21,2,1,2,,2,2,2,2,04,06,3,,9,2,01001,01,001,0002,00005,438
010025402,1,01,1,1,52,2,1,2,,2,2,2,2,,03,3,,8,1,01001,01,001,0002,00005,438
010025402,1,02,2,2,47,2,1,2,,2,2,2,2,,02,6,1,8,2,01001,01,001,0002,00005,438
010025402,1,03,3,1,23,2,1,2,,2,2,2,2,04,03,3,,9,2,01001,01,001,0002,00005,438
010025402,1,04,3,1,20,2,1,2,,2,2,2,2,04,06,1,,9,2,01001,01,001,0002,00005,438
010025402,1,05,3,2,19,2,1,2,,2,2,2,1,,08,1,,9,2,01001,01,001,0002,00005,438
010025403,1,01,1,2,55,2,1,2,,2,2,2,2,,06,3,,9,1,01001,01,001,0002,00005,438
010025403,1,02,3,2,22,2,1,2,,2,2,2,2,04,06,2,,9,2,01001,01,001,0002,00005,438
010025403,1,03,3,2,18,2,1,2,,2,2,2,2,10,03,3,,9,2,01001,01,001,0002,00005,438
010025404,1,01,1,1,52,2,1,2,,2,2,2,2,,03,3,,8,2,01001,01,001,0002,00005,438
010025404,1,02,2,2,52,2,1,2,,2,2,2,2,,03,3,,8,2,01001,01,001,0002,00005,438
010025404,1,03,3,1,26,2,1,2,,1,2,2,2,09,08,5,,9,1,01001,01,001,0002,00005,438
010025404,1,04,3,1,23,2,1,2,,1,2,2,2,09,08,4,,9,2,01001,01,001,0002,00005,438
010025404,1,05,3,1,20,2,1,2,,1,2,2,2,09,08,1,,9,2,01001,01,001,0002,00005,438
010025405,1,01,1,1,52,2,1,2,,2,2,2,2,,00,,2,8,2,01001,01,001,0002,00005,438
010025405,1,02,2,2,52,2,1,2,,2,2,2,2,,03,3,,8,2,01001,01,001,0002,00005,438
010025405,1,03,3,2,21,2,1,2,,2,2,2,2,04,03,3,,9,1,01001,01,001,0002,00005,438
010025405,1,04,4,1,16,2,1,2,,2,2,2,2,04,03,3,,9,2,01001,01,001,0002,00005,438
010025405,1,05,4,2,1,2,,,,,,,,,,,,,2,01001,01,001,0002,00005,438
010025901,1,01,1,1,49,2,1,2,,2,2,2,2,,03,3,,8,1,01001,01,001,0002,00006,427
010025901,1,02,2,2,51,2,1,2,,2,2,2,2,,02,6,1,8,2,01001,01,001,0002,00006,427
010025901,1,03,3,1,29,2,1,2,,2,2,2,2,09,08,5,,9,2,01001,01,001,0002,00006,427
010025901,1,04,3,1,21,2,1,2,,2,2,2,2,04,06,3,,9,2,01001,01,001,0002,00006,427
010025901,1,05,3,2,16,2,1,2,,1,2,2,1,,06,1,,9,2,01001,01,001,0002,00006,427
010025902,1,01,1,1,65,2,1,2,,2,2,2,2,,03,3,,8,2,01001,01,001,0002,00006,427
010025902,1,02,2,2,52,2,1,2,,2,2,2,2,,03,3,,8,2,01001,01,001,0002,00006,427
010025902,1,03,3,2,26,2,1,2,,2,2,2,2,07,06,3,,6,1,01001,01,001,0002,00006,427
010025902,1,04,4,1,7,2,1,2,,2,2,2,1,,02,2,1,,2,01001,01,001,0002,00006,427
010025902,1,05,4,1,6,2,1,2,,2,2,2,1,,02,1,1,,2,01001,01,001,0002,00006,427
010025902,1,06,4,1,0,2,,,,,,,,,,,,,2,01001,01,001,0002,00006,427
010025903,1,01,1,1,49,2,1,2,,2,2,2,2,,03,3,,8,2,01001,01,001,0002,00006,427
010025903,1,02,2,2,51,2,1,2,,2,2,2,2,,03,3,,8,2,01001,01,001,0002,00006,427
010025903,1,03,3,2,24,2,1,2,,2,2,2,2,04,03,3,,9,1,01001,01,001,0002,00006,427
010025903,1,04,4,2,6,2,1,2,,2,2,2,1,,01,3,2,,2,01001,01,001,0002,00006,427
010025903,1,05,4,2,4,2,1,2,,2,2,2,1,,01,1,,,2,01001,01,001,0002,00006,427
010025904,1,01,1,1,54,2,1,2,,2,2,2,2,,03,3,,8,1,01001,01,001,0002,00006,427
010025904,1,02,2,2,51,2,1,2,,2,2,2,2,,03,3,,8,2,01001,01,001,0002,00006,427
010025904,1,03,3,2,28,2,1,2,,2,2,2,2,09,08,5,,9,2,01001,01,001,0002,00006,427
010025904,1,04,3,2,24,2,1,2,,2,2,2,2,09,08,5,,9,2,01001,01,001,0002,00006,427
