folioviv,foliohog,id_pobla,geo_p,anio_nac_p,nivel_p,grado_p,sinco_p,lengua_p,padre_muer,geo_m,anio_nac_m,nivel_m,grado_m,sinco_m,lengua_m,madre_muer,hijos_m,hijos_nac,sosten,calle_pav,agua_entub,techo_loza,banio_int,licuadora,microondas,tostador,estufa,refrigera,lavadora,radio,tocadiscos,television,video_dvd,compu,tv_paga,videojuego,tel_fijo,tel_movil,internet,camara,enciclope,automovil,otra_viv,local_com,tierras,tractor,anim_trab,ganado,terrenos,cuenta_ban,tc_banc,tc_depar,serv_domes,cvegeo,cve_ent,cve_mun,est_dis,upm,factor_per
080436719,1,02,70008031,9999,00,0,6114,2,,70008031,9999,00,0,1003,2,2023,5,0,02,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,08031,08,031,0117,00003,3453
080443502,1,02,,,,,,,2017,99999000,1921,99,9,1003,2,2016,7,4,01,2,1,2,1,1,2,2,1,2,2,1,1,1,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,08032,08,032,0112,00001,1562
080443503,1,05,70030124,9999,09,3,5419,2,,70008032,1981,09,3,1003,2,,4,2,02,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,08032,08,032,0112,00001,7812
080443504,1,01,70025003,1963,06,3,6112,2,,70025003,1965,06,2,9611,2,,4,1,01,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,08032,08,032,0112,00001,1562
080443505,1,05,70010999,9999,06,6,8341,2,,70008032,1979,12,1,1003,2,,3,2,03,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,2,1,9,9,9,9,9,9,9,9,9,08032,08,032,0112,00001,4687
080445001,1,01,70008007,1959,06,6,7121,2,2015,70008007,1960,06,6,1003,2,,3,0,02,2,1,2,1,1,2,2,1,1,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,08032,08,032,0113,00001,1411
080445003,1,01,,,,,,,1994,70010005,1955,00,0,1003,2,,9,3,05,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,08032,08,032,0113,00001,2823
080445005,1,01,70008032,1960,06,6,4214,2,,70008032,1958,09,3,1003,2,,4,0,02,2,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,08032,08,032,0113,00001,1411
080455901,1,02,70016102,1943,99,9,8342,2,2020,70008032,1952,09,3,1003,2,,2,0,02,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,08032,08,032,0113,00002,1316
080455903,1,02,70008044,1966,06,6,6112,2,,70008044,1978,09,3,1003,2,,2,1,02,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,08032,08,032,0113,00002,2632
