"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"BIH","Bosnia and Herzegovina",0.325045855514068,0.325116327285032,0.323709290323209,0.322329074987347,0.323814263112281,0.327238163678574,0.3382124022785,0.342962695191039,0.34032131941292,0.348591837785861,0.350847863758715,0.348922051240639,0.34458613469098,0.345712796086499,0.344233124840536,0.35159205053632,0.358638200266126,0.363846950470862,0.37237385874735,0.383566153164176,0.373851601610415,0.375152924776725,0.378322799877368,0.376264575398978,0.366331355893341,0.366664492892251,0.367029208956938,0.386894629946048,0.389745021844495,0.380288074094667
"BWA","Botswana",0.423177119586924,0.423463376965826,0.427014511959239,0.430645175544797,0.43102809977577,0.43194367446767,0.429193223024679,0.425913762732464,0.441318108530407,0.429194510608192,0.437160296130033,0.424095375485892,0.422125183966181,0.423196443107132,0.424954186092276,0.425617393272013,0.42285184928732,0.426944632600737,0.423319288208591,0.429340771734464,0.423167189695256,0.424707654069074,0.420136472447118,0.419144276886646,0.423628860965182,0.416588253541921,0.41813936064422,0.406688855036208,0.404475137702948,0.383915563064972
"BRA","Brazil",0.371067573898011,0.370317702721674,0.371836899952323,0.373151245022355,0.378385473108311,0.382884588636258,0.383965167672522,0.38643506352538,0.384102100085606,0.378894451342194,0.376145569007791,0.37198101492624,0.365051615506034,0.366986645164543,0.376712318503072,0.377323789119756,0.379675304089512,0.374555713188191,0.364005516043749,0.358539833030092,0.352454134288803,0.351862529473277,0.344314640440591,0.339257832808468,0.344503477073052,0.349573440637847,0.348942952428216,0.377268933293393,0.377829257070221,0.381029599363176
"BRN","Brunei Darussalam",0.489846949638443,0.491026186550263,0.47955679310227,0.468265943543863,0.471973501428319,0.474570901295151,0.477393336306305,0.477535351341965,0.477735746062568,0.474544314198659,0.474584447575673,0.47611727091252,0.48091958796227,0.477913710963814,0.497851265519864,0.496500690809101,0.494542578659745,0.499671200817105,0.500706183555557,0.519699479395554,0.507517772496264,0.513805317260556,0.513210284732176,0.537286398405513,0.528044277233319,0.531449961484776,0.529981924470835,0.413857241587752,0.418972396757771,0.417302949083792
"BGR","Bulgaria",0.428209608947897,0.433526345451015,0.457149879421726,0.458397494410836,0.452133750004319,0.443303926677384,0.445350783767363,0.457581034250596,0.460484002973263,0.465058759427668,0.467241782146864,0.466100494869638,0.464414394684501,0.459856487895843,0.45806715329825,0.456454898019556,0.459514016764158,0.461993952488771,0.4624725897551,0.462114556489398,0.467160743911007,0.46953647326596,0.468227763793686,0.472182120482673,0.474261344093284,0.468960297918102,0.468586313511586,0.505874353468247,0.506940952547621,0.486145386534726
"BFA","Burkina Faso",0.291737209710076,0.291719144937179,0.292013317436854,0.2923597085673,0.293626487086446,0.294788246303248,0.2917376553994,0.288753617181946,0.29244661470109,0.283631249084932,0.284639082835509,0.278721520478621,0.287534069029669,0.288763049935488,0.299780892481689,0.305870600611098,0.298452582938103,0.295825735134142,0.283257223745878,0.281524881427027,0.281673219076411,0.280194190024499,0.284066577319073,0.282618082753422,0.27507025531765,0.269455760302737,0.26980642263524,0.275547810440785,0.271031957665266,0.270204079376687
"BDI","Burundi",0.212943900818432,0.212940338545094,0.212187763323632,0.211437034340973,0.218099624064407,0.224816379500484,0.229545643361551,0.234571392971116,0.233984594617986,0.240263502285349,0.254428137878586,0.257980074203144,0.25239540829758,0.244492610286605,0.240789843562375,0.226945616244686,0.220877967493278,0.217711004463112,0.236291035154727,0.271397129280851,0.256053770588257,0.250692680782446,0.2531524526048,0.252744974891279,0.253742966146866,0.253993227069292,0.255909684343445,0.251251304204145,0.252901819015178,0.249668188199824
"KHM","Cambodia",0.30578587159975,0.305926067430238,0.305309867201628,0.305092418298092,0.308356489761709,0.31162280180084,0.312165058714425,0.312871173552901,0.311881810013133,0.312796649603221,0.305415545187071,0.298916662290428,0.292531251685929,0.293542462834997,0.29181645567358,0.297654882663437,0.293698440468915,0.296650146870648,0.281695399723828,0.278259825808441,0.274432131787767,0.284681542271021,0.281487021263581,0.285130877458914,0.282439937670088,0.284334096948583,0.287211008106329,0.314662229784355,0.320526002569428,0.321304843329232
"CMR","Cameroon",0.276472929027138,0.276476659800352,0.285227577786566,0.293994631542393,0.295491997327728,0.296853262385933,0.290148173687076,0.283991413560232,0.294417055177132,0.303196286314638,0.298246250691582,0.297187496853267,0.292183160516439,0.286270159375201,0.2806328255841,0.269587078481002,0.273805215158179,0.265990671385314,0.261238152117632,0.262944811912459,0.258772087714137,0.25373545052096,0.24924689574036,0.248760635563317,0.24866680490661,0.247779142718806,0.247464497844451,0.274561742375544,0.275396693518112,0.27556449339349
"CAN","Canada",0.649642367271087,0.652094780755573,0.665272118167677,0.672246741193654,0.67944611297684,0.685857772294774,0.684596760553842,0.683475690390666,0.68241403085684,0.691051751862522,0.699982620762089,0.710033506018394,0.701119321135066,0.700305798277081,0.700535601147588,0.684767800712529,0.692797633852401,0.68945316875679,0.685302651445724,0.680025309440767,0.6760477043974,0.67524410646432,0.670809993532112,0.663537335732666,0.661185561143474,0.655670604782853,0.657825845988059,0.648621602893705,0.646631515995733,0.643424897213037
"CPV","Cape Verde",0.408786542826988,0.408872069142777,0.40712143581457,0.405389925613001,0.410496641039758,0.415765793439324,0.402063249076468,0.389494773830172,0.3932229433713,0.388016799241627,0.404568817847114,0.41485668184576,0.413440752623039,0.414412473464783,0.416655547128488,0.422658289452244,0.442865858446615,0.442599692888283,0.436689001163584,0.449348879146615,0.448518372047269,0.450265477116469,0.447830876859648,0.448741135672804,0.448070900323173,0.451518009332056,0.451736479552773,0.380915417353457,0.381161080905004,0.380825424939355
"CAF","Central African Republic",0.2062665981303,0.20627275201868,0.206415191885284,0.206557530162864,0.206879041596779,0.207147137862067,0.210994275126721,0.214845075387101,0.202935382267276,0.209156199420011,0.199837006265998,0.182508966480933,0.17553395869254,0.164782847962676,0.169687546615099,0.164468833056559,0.163615080885855,0.163558576139001,0.133763031479486,0.121505987208732,0.126340691739929,0.13101976823669,0.131710658505415,0.131209522143284,0.130955024192864,0.122050154571885,0.123602204545143,0.150968250187811,0.149849758978622,0.136827316140834
"TCD","Chad",0.236915359165273,0.236916207118489,0.235782563781734,0.234709417842635,0.234738908032257,0.234774852141536,0.233916489475683,0.233113519627647,0.225319989357416,0.23452337293614,0.217120395910392,0.203456208933791,0.1973516647967,0.184235309486363,0.193281305427595,0.189246562979769,0.185680250684446,0.182227719852627,0.17219218877132,0.170638316184622,0.172509219674702,0.169157055540299,0.171543248813193,0.169247400400934,0.168806564645865,0.170075011695816,0.16779633564214,0.198111446815928,0.195562312012037,0.166137950341569
